"","PrimaryKey","indicator","nwern_percent","percent","line_length","interval","n_lines","pin_n","difference","group"
"45","15050113465465692015-09-24","PC",26.3912310286678,31.3131313131313,100,100,1,100,-4.92190028446352,"I_100_L_100_N_1"
"46","15050113465465692015-09-24","PC",26.3912310286678,46.1538461538462,25,200,1,13,-19.7626151251784,"I_200_L_25_N_1"
"47","15050113465465692015-09-24","PC",26.3912310286678,32,50,200,1,25,-5.60876897133221,"I_200_L_50_N_1"
"48","15050113465465692015-09-24","PC",26.3912310286678,30.6122448979592,100,200,1,50,-4.22101386929139,"I_200_L_100_N_1"
"49","15050113465465692015-09-24","PC",26.3912310286678,25,25,25,2,200,1.39123102866779,"I_25_L_25_N_2"
"50","15050113465465692015-09-24","PC",26.3912310286678,25.5696202531646,50,25,2,400,0.821610775503231,"I_25_L_50_N_2"
"51","15050113465465692015-09-24","PC",26.3912310286678,27.180783817952,100,25,2,800,-0.789552789284169,"I_25_L_100_N_2"
"52","15050113465465692015-09-24","PC",26.3912310286678,30,25,50,2,100,-3.60876897133221,"I_50_L_25_N_2"
"53","15050113465465692015-09-24","PC",26.3912310286678,27.2727272727273,50,50,2,200,-0.881496244059484,"I_50_L_50_N_2"
"54","15050113465465692015-09-24","PC",26.3912310286678,28.2828282828283,100,50,2,400,-1.89159725416049,"I_50_L_100_N_2"
"55","15050113465465692015-09-24","PC",26.3912310286678,26,25,100,2,50,0.391231028667789,"I_100_L_25_N_2"
"56","15050113465465692015-09-24","PC",26.3912310286678,23,50,100,2,100,3.39123102866779,"I_100_L_50_N_2"
"57","15050113465465692015-09-24","PC",26.3912310286678,28.7878787878788,100,100,2,200,-2.396647759211,"I_100_L_100_N_2"
"58","15050113465465692015-09-24","PC",26.3912310286678,38.4615384615385,25,200,2,26,-12.0703074328707,"I_200_L_25_N_2"
"59","15050113465465692015-09-24","PC",26.3912310286678,34,50,200,2,50,-7.60876897133221,"I_200_L_50_N_2"
"60","15050113465465692015-09-24","PC",26.3912310286678,32.6530612244898,100,200,2,100,-6.26183019582201,"I_200_L_100_N_2"
