"","PrimaryKey","gap_class","nwern_percent","nwern_n","nwern_length","total_line_length","length","n","percent","group","n_lines","line_length","percent_difference"
"44","15050113465465692015-05-05","51-101",17.0966666666667,71,5129,20000,2912,41,14.56,"L_100_N_2",2,100,2.53666666666666
"45","15050113465465692015-05-05","51-101",17.0966666666667,71,5129,30000,5129,71,17.0966666666667,"NWERN Base",3,100,0
"46","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,2500,73,6,2.92,"L_25_N_1",1,25,0.103333333333333
"47","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,5000,184,15,3.68,"L_25_N_2",2,25,-0.656666666666666
"48","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,7500,257,21,3.42666666666667,"L_25_N_3",3,25,-0.403333333333333
"49","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,5000,126,9,2.52,"L_50_N_1",1,50,0.503333333333333
"50","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,10000,387,32,3.87,"L_50_N_2",2,50,-0.846666666666666
"51","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,15000,491,39,3.27333333333333,"L_50_N_3",3,50,-0.25
"52","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,10000,385,30,3.85,"L_100_N_1",1,100,-0.826666666666667
"53","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,20000,675,57,3.375,"L_100_N_2",2,100,-0.351666666666667
"54","15050113465465692015-05-05","NoGap",3.02333333333333,75,907,30000,907,75,3.02333333333333,"NWERN Base",3,100,0
"55","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,2500,120,1,4.8,"L_25_N_1",1,25,17.7766666666667
"56","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,5000,329,3,6.58,"L_25_N_2",2,25,15.9966666666667
"57","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,7500,991,8,13.2133333333333,"L_25_N_3",3,25,9.36333333333334
"58","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,5000,1174,8,23.48,"L_50_N_1",1,50,-0.903333333333332
"59","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,10000,3170,23,31.7,"L_50_N_2",2,50,-9.12333333333333
"60","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,15000,3122,23,20.8133333333333,"L_50_N_3",3,50,1.76333333333334
"61","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,10000,1948,15,19.48,"L_100_N_1",1,100,3.09666666666667
"62","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,20000,4825,35,24.125,"L_100_N_2",2,100,-1.54833333333333
"63","15050113465465692015-09-24","101-201",22.5766666666667,50,6773,30000,6773,50,22.5766666666667,"NWERN Base",3,100,0
"64","15050113465465692015-09-24","20-25",1.38333333333333,19,415,2500,44,2,1.76,"L_25_N_1",1,25,-0.376666666666667
"65","15050113465465692015-09-24","20-25",1.38333333333333,19,415,5000,109,5,2.18,"L_25_N_2",2,25,-0.796666666666667
"66","15050113465465692015-09-24","20-25",1.38333333333333,19,415,7500,196,9,2.61333333333333,"L_25_N_3",3,25,-1.23
"67","15050113465465692015-09-24","20-25",1.38333333333333,19,415,5000,20,1,0.4,"L_50_N_1",1,50,0.983333333333333
"68","15050113465465692015-09-24","20-25",1.38333333333333,19,415,10000,91,4,0.91,"L_50_N_2",2,50,0.473333333333333
"69","15050113465465692015-09-24","20-25",1.38333333333333,19,415,15000,259,12,1.72666666666667,"L_50_N_3",3,50,-0.343333333333333
"70","15050113465465692015-09-24","20-25",1.38333333333333,19,415,10000,239,11,2.39,"L_100_N_1",1,100,-1.00666666666667
"71","15050113465465692015-09-24","20-25",1.38333333333333,19,415,20000,176,8,0.88,"L_100_N_2",2,100,0.503333333333333
"72","15050113465465692015-09-24","20-25",1.38333333333333,19,415,30000,415,19,1.38333333333333,"NWERN Base",3,100,0
"73","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,2500,0,0,0,"L_25_N_1",1,25,14.0033333333333
"74","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,5000,808,3,16.16,"L_25_N_2",2,25,-2.15666666666667
"75","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,7500,1115,4,14.8666666666667,"L_25_N_3",3,25,-0.863333333333333
"76","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,5000,1272,3,25.44,"L_50_N_1",1,50,-11.4366666666667
"77","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,10000,1098,4,10.98,"L_50_N_2",2,50,3.02333333333334
"78","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,15000,3103,10,20.6866666666667,"L_50_N_3",3,50,-6.68333333333333
"79","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,10000,1831,7,18.31,"L_100_N_1",1,100,-4.30666666666667
"80","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,20000,2370,7,11.85,"L_100_N_2",2,100,2.15333333333333
"81","15050113465465692015-09-24","201-Inf",14.0033333333333,14,4201,30000,4201,14,14.0033333333333,"NWERN Base",3,100,0
"82","15050113465465692015-09-24","25-51",12,102,3600,2500,419,11,16.76,"L_25_N_1",1,25,-4.76
"83","15050113465465692015-09-24","25-51",12,102,3600,5000,730,19,14.6,"L_25_N_2",2,25,-2.6
"84","15050113465465692015-09-24","25-51",12,102,3600,7500,1066,29,14.2133333333333,"L_25_N_3",3,25,-2.21333333333333
"85","15050113465465692015-09-24","25-51",12,102,3600,5000,626,18,12.52,"L_50_N_1",1,50,-0.520000000000001
"86","15050113465465692015-09-24","25-51",12,102,3600,10000,966,28,9.66,"L_50_N_2",2,50,2.34
"87","15050113465465692015-09-24","25-51",12,102,3600,15000,1824,52,12.16,"L_50_N_3",3,50,-0.16
"88","15050113465465692015-09-24","25-51",12,102,3600,10000,1198,34,11.98,"L_100_N_1",1,100,0.0199999999999996
"89","15050113465465692015-09-24","25-51",12,102,3600,20000,2402,68,12.01,"L_100_N_2",2,100,-0.00999999999999979
"90","15050113465465692015-09-24","25-51",12,102,3600,30000,3600,102,12,"NWERN Base",3,100,0
"91","15050113465465692015-09-24","51-101",21.01,88,6303,2500,704,10,28.16,"L_25_N_1",1,25,-7.15
"92","15050113465465692015-09-24","51-101",21.01,88,6303,5000,1131,16,22.62,"L_25_N_2",2,25,-1.61
"93","15050113465465692015-09-24","51-101",21.01,88,6303,7500,1504,22,20.0533333333333,"L_25_N_3",3,25,0.956666666666667
"94","15050113465465692015-09-24","51-101",21.01,88,6303,5000,927,13,18.54,"L_50_N_1",1,50,2.47
"95","15050113465465692015-09-24","51-101",21.01,88,6303,10000,1729,23,17.29,"L_50_N_2",2,50,3.72
"96","15050113465465692015-09-24","51-101",21.01,88,6303,15000,3092,44,20.6133333333333,"L_50_N_3",3,50,0.396666666666668
"97","15050113465465692015-09-24","51-101",21.01,88,6303,10000,2165,31,21.65,"L_100_N_1",1,100,-0.639999999999997
"98","15050113465465692015-09-24","51-101",21.01,88,6303,20000,4138,57,20.69,"L_100_N_2",2,100,0.32
"99","15050113465465692015-09-24","51-101",21.01,88,6303,30000,6303,88,21.01,"NWERN Base",3,100,0
"100","15050113465465692015-09-24","NoGap",3.63,88,1089,2500,158,12,6.32,"L_25_N_1",1,25,-2.69
"101","15050113465465692015-09-24","NoGap",3.63,88,1089,5000,228,18,4.56,"L_25_N_2",2,25,-0.930000000000001
"102","15050113465465692015-09-24","NoGap",3.63,88,1089,7500,290,23,3.86666666666667,"L_25_N_3",3,25,-0.236666666666667
"103","15050113465465692015-09-24","NoGap",3.63,88,1089,5000,115,10,2.3,"L_50_N_1",1,50,1.33
"104","15050113465465692015-09-24","NoGap",3.63,88,1089,10000,370,26,3.7,"L_50_N_2",2,50,-0.0699999999999998
"105","15050113465465692015-09-24","NoGap",3.63,88,1089,15000,468,42,3.12,"L_50_N_3",3,50,0.51
"106","15050113465465692015-09-24","NoGap",3.63,88,1089,10000,353,32,3.53,"L_100_N_1",1,100,0.1
"107","15050113465465692015-09-24","NoGap",3.63,88,1089,20000,736,56,3.68,"L_100_N_2",2,100,-0.0499999999999998
"108","15050113465465692015-09-24","NoGap",3.63,88,1089,30000,1089,88,3.63,"NWERN Base",3,100,0
"109","15050113465465692016-03-28","101-201",22.55,48,6765,2500,793,6,31.72,"L_25_N_1",1,25,-9.17
"110","15050113465465692016-03-28","101-201",22.55,48,6765,5000,599,5,11.98,"L_25_N_2",2,25,10.57
"111","15050113465465692016-03-28","101-201",22.55,48,6765,7500,1392,11,18.56,"L_25_N_3",3,25,3.99
"112","15050113465465692016-03-28","101-201",22.55,48,6765,5000,1720,12,34.4,"L_50_N_1",1,50,-11.85
"113","15050113465465692016-03-28","101-201",22.55,48,6765,10000,2634,19,26.34,"L_50_N_2",2,50,-3.79
"114","15050113465465692016-03-28","101-201",22.55,48,6765,15000,2960,21,19.7333333333333,"L_50_N_3",3,50,2.81666666666667
"115","15050113465465692016-03-28","101-201",22.55,48,6765,10000,2823,20,28.23,"L_100_N_1",1,100,-5.68
"116","15050113465465692016-03-28","101-201",22.55,48,6765,20000,5336,38,26.68,"L_100_N_2",2,100,-4.13
"117","15050113465465692016-03-28","101-201",22.55,48,6765,30000,6765,48,22.55,"NWERN Base",3,100,0
"118","15050113465465692016-03-28","20-25",1.40666666666667,19,422,2500,113,5,4.52,"L_25_N_1",1,25,-3.11333333333333
"119","15050113465465692016-03-28","20-25",1.40666666666667,19,422,5000,22,1,0.44,"L_25_N_2",2,25,0.966666666666667
"120","15050113465465692016-03-28","20-25",1.40666666666667,19,422,7500,135,6,1.8,"L_25_N_3",3,25,-0.393333333333333
"121","15050113465465692016-03-28","20-25",1.40666666666667,19,422,5000,134,6,2.68,"L_50_N_1",1,50,-1.27333333333333
"122","15050113465465692016-03-28","20-25",1.40666666666667,19,422,10000,84,4,0.84,"L_50_N_2",2,50,0.566666666666667
"123","15050113465465692016-03-28","20-25",1.40666666666667,19,422,15000,152,7,1.01333333333333,"L_50_N_3",3,50,0.393333333333334
"124","15050113465465692016-03-28","20-25",1.40666666666667,19,422,10000,176,8,1.76,"L_100_N_1",1,100,-0.353333333333333
"125","15050113465465692016-03-28","20-25",1.40666666666667,19,422,20000,312,14,1.56,"L_100_N_2",2,100,-0.153333333333333
"126","15050113465465692016-03-28","20-25",1.40666666666667,19,422,30000,422,19,1.40666666666667,"NWERN Base",3,100,0
"127","15050113465465692016-03-28","201-Inf",32.4,26,9720,2500,264,1,10.56,"L_25_N_1",1,25,21.84
"128","15050113465465692016-03-28","201-Inf",32.4,26,9720,5000,2269,5,45.38,"L_25_N_2",2,25,-12.98
