"","PrimaryKey","indicator","nwern_height","nwern_pin_n","mean_height","line_length","interval","n_lines","pin_n","difference","group"
"42","15050113465465692015-05-05","mean_height",27.3695652173913,150,22.09375,100,32,3,39,5.2758152173913,"I_32_L_100_N_3"
"43","15050113465465692015-05-05","mean_height",27.3695652173913,150,22.6,100,40,1,10,4.7695652173913,"I_40_L_100_N_1"
"44","15050113465465692015-05-05","mean_height",27.3695652173913,150,31.8333333333333,100,40,2,20,-4.46376811594203,"I_40_L_100_N_2"
"45","15050113465465692015-05-05","mean_height",27.3695652173913,150,28.5357142857143,100,40,3,30,-1.16614906832298,"I_40_L_100_N_3"
"46","15050113465465692015-09-24","mean_height",30.6187050359712,150,33.9090909090909,25,8,1,12,-3.29038587311968,"I_8_L_25_N_1"
"47","15050113465465692015-09-24","mean_height",30.6187050359712,150,36.2727272727273,25,8,2,24,-5.65402223675605,"I_8_L_25_N_2"
"48","15050113465465692015-09-24","mean_height",30.6187050359712,150,32.4117647058824,25,8,3,36,-1.79305966991113,"I_8_L_25_N_3"
"49","15050113465465692015-09-24","mean_height",30.6187050359712,150,46.6,25,16,1,6,-15.9812949640288,"I_16_L_25_N_1"
"50","15050113465465692015-09-24","mean_height",30.6187050359712,150,28.5454545454545,25,16,2,12,2.07325049051668,"I_16_L_25_N_2"
"51","15050113465465692015-09-24","mean_height",30.6187050359712,150,42.875,25,16,3,18,-12.2562949640288,"I_16_L_25_N_3"
"52","15050113465465692015-09-24","mean_height",30.6187050359712,150,30,25,24,1,4,0.618705035971225,"I_24_L_25_N_1"
"53","15050113465465692015-09-24","mean_height",30.6187050359712,150,22.4,25,24,2,8,8.21870503597123,"I_24_L_25_N_2"
"54","15050113465465692015-09-24","mean_height",30.6187050359712,150,26.9166666666667,25,24,3,12,3.70203836930456,"I_24_L_25_N_3"
"55","15050113465465692015-09-24","mean_height",30.6187050359712,150,35.3333333333333,25,32,1,3,-4.71462829736211,"I_32_L_25_N_1"
"56","15050113465465692015-09-24","mean_height",30.6187050359712,150,25.1666666666667,25,32,2,6,5.45203836930456,"I_32_L_25_N_2"
"57","15050113465465692015-09-24","mean_height",30.6187050359712,150,40.1111111111111,25,32,3,9,-9.49240607513989,"I_32_L_25_N_3"
"58","15050113465465692015-09-24","mean_height",30.6187050359712,150,36.6666666666667,25,40,1,3,-6.04796163069544,"I_40_L_25_N_1"
"59","15050113465465692015-09-24","mean_height",30.6187050359712,150,26.4,25,40,2,6,4.21870503597123,"I_40_L_25_N_2"
"60","15050113465465692015-09-24","mean_height",30.6187050359712,150,30.7142857142857,25,40,3,9,-0.0955806783144908,"I_40_L_25_N_3"
"61","15050113465465692015-09-24","mean_height",30.6187050359712,150,35.25,50,8,1,25,-4.63129496402878,"I_8_L_50_N_1"
"62","15050113465465692015-09-24","mean_height",30.6187050359712,150,24.8958333333333,50,8,2,50,5.72287170263789,"I_8_L_50_N_2"
"63","15050113465465692015-09-24","mean_height",30.6187050359712,150,33.1940298507463,50,8,3,75,-2.57532481477504,"I_8_L_50_N_3"
"64","15050113465465692015-09-24","mean_height",30.6187050359712,150,25.8333333333333,50,16,1,13,4.78537170263789,"I_16_L_50_N_1"
"65","15050113465465692015-09-24","mean_height",30.6187050359712,150,24.0416666666667,50,16,2,26,6.57703836930456,"I_16_L_50_N_2"
"66","15050113465465692015-09-24","mean_height",30.6187050359712,150,24.1891891891892,50,16,3,39,6.42951584678204,"I_16_L_50_N_3"
"67","15050113465465692015-09-24","mean_height",30.6187050359712,150,28.75,50,24,1,9,1.86870503597122,"I_24_L_50_N_1"
"68","15050113465465692015-09-24","mean_height",30.6187050359712,150,42.5,50,24,2,18,-11.8812949640288,"I_24_L_50_N_2"
"69","15050113465465692015-09-24","mean_height",30.6187050359712,150,28.1818181818182,50,24,3,27,2.43688685415304,"I_24_L_50_N_3"
"70","15050113465465692015-09-24","mean_height",30.6187050359712,150,28.1666666666667,50,32,1,7,2.45203836930456,"I_32_L_50_N_1"
"71","15050113465465692015-09-24","mean_height",30.6187050359712,150,30,50,32,2,14,0.618705035971225,"I_32_L_50_N_2"
"72","15050113465465692015-09-24","mean_height",30.6187050359712,150,31.7777777777778,50,32,3,21,-1.15907274180655,"I_32_L_50_N_3"
"73","15050113465465692015-09-24","mean_height",30.6187050359712,150,40,50,40,1,5,-9.38129496402878,"I_40_L_50_N_1"
"74","15050113465465692015-09-24","mean_height",30.6187050359712,150,35.3,50,40,2,10,-4.68129496402877,"I_40_L_50_N_2"
"75","15050113465465692015-09-24","mean_height",30.6187050359712,150,37.2142857142857,50,40,3,15,-6.59558067831449,"I_40_L_50_N_3"
"76","15050113465465692015-09-24","mean_height",30.6187050359712,150,27.8541666666667,100,8,1,50,2.76453836930456,"I_8_L_100_N_1"
"77","15050113465465692015-09-24","mean_height",30.6187050359712,150,29.2688172043011,100,8,2,100,1.34988783167015,"I_8_L_100_N_2"
"78","15050113465465692015-09-24","mean_height",30.6187050359712,150,30.6187050359712,100,8,3,150,0,"NWERN Base"
"79","15050113465465692015-09-24","mean_height",30.6187050359712,150,28.0833333333333,100,16,1,25,2.53537170263789,"I_16_L_100_N_1"
"80","15050113465465692015-09-24","mean_height",30.6187050359712,150,32.1086956521739,100,16,2,50,-1.48999061620269,"I_16_L_100_N_2"
